| ÉPOCA: | 259 | ERRO DE APROXIMAÇÃO: | 18.32423623759212
| ÉPOCA: | 260 | ERRO DE APROXIMAÇÃO: | 18.25493374286491
| ÉPOCA: | 261 | ERRO DE APROXIMAÇÃO: | 18.186158172380896
| ÉPOCA: | 262 | ERRO DE APROXIMAÇÃO: | 18.117903529669622
| ÉPOCA: | 263 | ERRO DE APROXIMAÇÃO: | 18.050163908913625
| ÉPOCA: | 264 | ERRO DE APROXIMAÇÃO: | 17.98293349324179
| ÉPOCA: | 265 | ERRO DE APROXIMAÇÃO: | 17.916206553062686
| ÉPOCA: | 266 | ERRO DE APROXIMAÇÃO: | 17.849977444433343
| ÉPOCA: | 267 | ERRO DE APROXIMAÇÃO: | 17.784240607465605
| ÉPOCA: | 268 | ERRO DE APROXIMAÇÃO: | 17.718990564768177
| ÉPOCA: | 269 | ERRO DE APROXIMAÇÃO: | 17.654221919921955
| ÉPOCA: | 270 | ERRO DE APROXIMAÇÃO: | 17.58992935599052
| ÉPOCA: | 271 | ERRO DE APROXIMAÇÃO: | 17.526107634062008
| ÉPOCA: | 272 | ERRO DE APROXIMAÇÃO: | 17.46275159182388
| ÉPOCA: | 273 | ERRO DE APROXIMAÇÃO: | 17.39985614216844
| ÉPOCA: | 274 | ERRO DE APROXIMAÇÃO: | 17.33741627182865
| ÉPOCA: | 275 | ERRO DE APROXIMAÇÃO: | 17.275427040043642
| ÉPOCA: | 276 | ERRO DE APROXIMAÇÃO: | 17.21388357725311
| ÉPOCA: | 277 | ERRO DE APROXIMAÇÃO: | 17.152781083819654
| ÉPOCA: | 278 | ERRO DE APROXIMAÇÃO: | 17.092114828778254
| ÉPOCA: | 279 | ERRO DE APROXIMAÇÃO: | 17.03188014861353
| ÉPOCA: | 280 | ERRO DE APROXIMAÇÃO: | 16.972072446061453
| ÉPOCA: | 281 | ERRO DE APROXIMAÇÃO: | 16.912687188937856
| ÉPOCA: | 282 | ERRO DE APROXIMAÇÃO: | 16.853719908991227
| ÉPOCA: | 283 | ERRO DE APROXIMAÇÃO: | 16.795166200779306
| ÉPOCA: | 284 | ERRO DE APROXIMAÇÃO: | 16.737021720569746
| ÉPOCA: | 285 | ERRO DE APROXIMAÇÃO: | 16.679282185263478
| ÉPOCA: | 286 | ERRO DE APROXIMAÇÃO: | 16.621943371341104
| ÉPOCA: | 287 | ERRO DE APROXIMAÇÃO: | 16.56500111383035
| ÉPOCA: | 288 | ERRO DE APROXIMAÇÃO: | 16.508451305295594
| ÉPOCA: | 289 | ERRO DE APROXIMAÇÃO: | 16.452289894847514
| ÉPOCA: | 290 | ERRO DE APROXIMAÇÃO: | 16.39651288717415
| ÉPOCA: | 291 | ERRO DE APROXIMAÇÃO: | 16.34111634159071
| ÉPOCA: | 292 | ERRO DE APROXIMAÇÃO: | 16.286096371109434
| ÉPOCA: | 293 | ERRO DE APROXIMAÇÃO: | 16.231449141528717
| ÉPOCA: | 294 | ERRO DE APROXIMAÇÃO: | 16.177170870539385
| ÉPOCA: | 295 | ERRO DE APROXIMAÇÃO: | 16.1232578268508
| ÉPOCA: | 296 | ERRO DE APROXIMAÇÃO: | 16.06970632933316
| ÉPOCA: | 297 | ERRO DE APROXIMAÇÃO: | 16.016512746177586
| ÉPOCA: | 298 | ERRO DE APROXIMAÇÃO: | 15.963673494073364
| ÉPOCA: | 299 | ERRO DE APROXIMAÇÃO: | 15.911185037400623
| ÉPOCA: | 300 | ERRO DE APROXIMAÇÃO: | 15.859043887440405
| ÉPOCA: | 301 | ERRO DE APROXIMAÇÃO: | 15.807246601599102
| ÉPOCA: | 302 | ERRO DE APROXIMAÇÃO: | 15.755789782648947
| ÉPOCA: | 303 | ERRO DE APROXIMAÇÃO: | 15.704670077983536
| ÉPOCA: | 304 | ERRO DE APROXIMAÇÃO: | 15.653884178887226
| ÉPOCA: | 305 | ERRO DE APROXIMAÇÃO: | 15.603428819819824
| ÉPOCA: | 306 | ERRO DE APROXIMAÇÃO: | 15.553300777714606
| ÉPOCA: | 307 | ERRO DE APROXIMAÇÃO: | 15.503496871289766
| ÉPOCA: | 308 | ERRO DE APROXIMAÇÃO: | 15.454013960374004
| ÉPOCA: | 309 | ERRO DE APROXIMAÇÃO: | 15.40484894524428
| ÉPOCA: | 310 | ERRO DE APROXIMAÇÃO: | 15.355998765977153
| ÉPOCA: | 311 | ERRO DE APROXIMAÇÃO: | 15.307460401811507
| ÉPOCA: | 312 | ERRO DE APROXIMAÇÃO: | 15.259230870524744
| ÉPOCA: | 313 | ERRO DE APROXIMAÇÃO: | 15.211307227819669
| ÉPOCA: | 314 | ERRO DE APROXIMAÇÃO: | 15.163686566724062
| ÉPOCA: | 315 | ERRO DE APROXIMAÇÃO: | 15.116366017000724
| ÉPOCA: | 316 | ERRO DE APROXIMAÇÃO: | 15.069342744569287
| ÉPOCA: | 317 | ERRO DE APROXIMAÇÃO: | 15.022613950938684
| ÉPOCA: | 318 | ERRO DE APROXIMAÇÃO: | 14.97617687265029
| ÉPOCA: | 319 | ERRO DE APROXIMAÇÃO: | 14.93002878073152
| ÉPOCA: | 320 | ERRO DE APROXIMAÇÃO: | 14.88416698015931
| ÉPOCA: | 321 | ERRO DE APROXIMAÇÃO: | 14.838588809334334
| ÉPOCA: | 322 | ERRO DE APROXIMAÇÃO: | 14.79329163956409
| ÉPOCA: | 323 | ERRO DE APROXIMAÇÃO: | 14.748272874556031
| ÉPOCA: | 324 | ERRO DE APROXIMAÇÃO: | 14.70352994992018
| ÉPOCA: | 325 | ERRO DE APROXIMAÇÃO: | 14.659060332680186
| ÉPOCA: | 326 | ERRO DE APROXIMAÇÃO: | 14.614861520794303
| ÉPOCA: | 327 | ERRO DE APROXIMAÇÃO: | 14.570931042684155
